security_id,cusip,issuer,reason,conflicting_evidence,impacted_observation_count,affected_variants,affected_splits,recommended_review_action
,63911H306,NAUTICUS ROBOTICS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,10,O0;O1_2Q,,resolve ambiguity
,670663103,NUVEEN MUN CR OPPORTUNITIES,AMBIGUOUS,"multiple distinct US tickers: ['NMCO', 'XNMCX']",10,O0;O1_2Q,H3_security_holdout;H3_security_holdout,resolve ambiguity
,670682103,NUVEEN MUN HIGH INCOME OPPOR,AMBIGUOUS,"multiple distinct US tickers: ['NMZ', 'XNMZX']",10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,68277K207,ONFOLIO HOLDINGS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,722014107,PIMCO HIGH INCOME FD,AMBIGUOUS,"multiple distinct US tickers: ['PHK', 'XPHKX']",10,O0;O1_2Q,H0_dev;H0_dev;H2_manager_holdout,resolve ambiguity
,74933W395,RBB FD INC,CONFLICT,SEC title 'F/M 3-YEAR INV GR CORP B ETF' -> ['FMBM'] != OpenFIGI ZTRE,10,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,review conflict evidence
,74933W411,RBB FD INC,CONFLICT,SEC title 'F/M 10-YEAR INV G CORP B ETF' -> ['FMBM'] != OpenFIGI ZTEN,10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,74933W460,RBB FD INC,CONFLICT,SEC title 'F/M US TREASURY 6 MONTH BILL' -> ['FMBM'] != OpenFIGI XBIL,10,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,74933W494,RBB FD INC,CONFLICT,SEC title 'F/M US TREASURY 3 YEAR NOTE' -> ['FMBM'] != OpenFIGI UTRE,10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,862945102,STRIVE INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,10,O0;O1_2Q,H1_time_holdout,resolve ambiguity
,87283Q826,T ROWE PRICE EXCHANGE-TRADED,CONFLICT,SEC unique ticker TKNZ != OpenFIGI TMSL,10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,87283Q834,T ROWE PRICE EXCHANGE-TRADED,CONFLICT,SEC unique ticker TKNZ != OpenFIGI TOUS,10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,95766K109,WESTERN ASSET HIGH INCOME OP,AMBIGUOUS,"multiple distinct US tickers: ['HIO', 'XHIOX']",10,O0;O1_2Q,H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,G0567U127,ARQIT QUANTUM INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,10,O0;O1_2Q,H3_security_holdout;H3_security_holdout;H4_combined;H4_combined,resolve ambiguity
,G1149B116,ABLE VIEW GLOBAL INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,10,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,G6202B101,MONEYHERO LIMITED,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,10,O0;O1_2Q,H3_security_holdout,resolve ambiguity
,G72245122,PRENETICS GLOBAL LTD,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,10,O0;O1_2Q,H1_time_holdout;H2_manager_holdout,resolve ambiguity
,G8976D107,TOYO CO LTD,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,10,O0;O1_2Q;O1_3Q,H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,02072L870,EA SERIES TRUST,CONFLICT,13F title_of_class declares ADR but OpenFIGI securityType=['ETP'],9,O0,H0_dev;H2_manager_holdout,review conflict evidence
,09260E105,BLACKROCK HEALTH SCIENCES TE,AMBIGUOUS,"multiple distinct US tickers: ['BMEZ', 'XBMZX']",9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,114082308,ERNEXA THERAPEUTICS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,9,O0;O1_2Q,H1_time_holdout;H2_manager_holdout,resolve ambiguity
,18914E106,CLOUGH GLOBAL OPPORTUNITIES,AMBIGUOUS,"multiple distinct US tickers: ['GLO', 'XGLOX']",9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,19249Q103,COHEN & STEERS REAL ESTATE O,AMBIGUOUS,"multiple distinct US tickers: ['RLTY', 'XRLTX']",9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,26145B304,DRAGONFLY ENERGY HOLDINGS CO,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,9,O0;O1_2Q,H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,26916J106,ESS TECH INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,9,O0;O1_2Q,H0_dev;H0_dev,resolve ambiguity
,27828H105,EATON VANCE LIMITED DURATION,AMBIGUOUS,"multiple distinct US tickers: ['EVV', 'XEVVX']",9,O0,H3_security_holdout,resolve ambiguity
,30290Y101,FS CREDIT OPPORTUNITIES CORP,AMBIGUOUS,"multiple distinct US tickers: ['FSCO', 'XFSCX']",9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,40167F101,GUGGENHEIM STRATEGIC OPPORTU,AMBIGUOUS,"multiple distinct US tickers: ['GOF', 'XGOFX']",9,O0,H3_security_holdout;H4_combined,resolve ambiguity
,45409F686,NEW YORK LIFE INVTS ACTIVE E,CONFLICT,SEC title 'NYLI MACKAY SECUR INC ETF' -> ['MMD'] != OpenFIGI SECR,9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,45409F777,NEW YORK LIFE INVTS ACTIVE E,CONFLICT,SEC title 'NYLI MACKAY CA MUNI INTERM' -> ['MMD'] != OpenFIGI MMCA,9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,45409F843,NEW YORK LIFE INVTS ACTIVE E,CONFLICT,SEC title 'NYLI MACKAY MUNI INSURED ETF' -> ['MMD'] != OpenFIGI MMIN,9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,46138E156,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P SMALLCAP FINANCI' -> ['VVR'] != OpenFIGI PSCF,9,O0;O1_2Q,H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,46138E214,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P INTERNATIONAL DE' -> ['VVR'] != OpenFIGI IDHQ,9,O0,H0_dev;H1_time_holdout,review conflict evidence
,46138G441,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P SC 600 GARP ETF' -> ['VVR'] != OpenFIGI GRPZ,9,O0;O1_2Q,H3_security_holdout;H3_security_holdout,review conflict evidence
,46138G474,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P SMALLCAP ENERGY' -> ['VVR'] != OpenFIGI PSCE,9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,46138G573,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P MIDCAP 400 QVM M' -> ['VVR'] != OpenFIGI QVMM,9,O0;O1_2Q,H3_security_holdout;H3_security_holdout,review conflict evidence
,46144X487,INVESTMENT MANAGERS SER TR I,CONFLICT,13F title_of_class declares ADR but OpenFIGI securityType=['ETP'],9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,552738106,ABERDEEN MUN INCOME FD,AMBIGUOUS,"multiple distinct US tickers: ['MFM', 'XMFMX']",9,O0,H0_dev;H1_time_holdout,resolve ambiguity
,64113L202,NETCAPITAL INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,69122G102,BLUE OWL CAP CORP III,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,9,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout,resolve ambiguity
,69181V107,OXFORD SQUARE CAP CORP,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,9,O0,H3_security_holdout;H4_combined,resolve ambiguity
,69344A784,PGIM ETF TR,CONFLICT,SEC title 'PGIM SHORT DURATION HIGH YLD' -> ['SDHY'] != OpenFIGI PSH,9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,74933W478,RBB FD INC,CONFLICT,SEC title 'F/M US TREASURY 12 MONTH BIL' -> ['FMBM'] != OpenFIGI OBIL,9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,87283Q800,T ROWE PRICE EXCHANGE-TRADED,CONFLICT,SEC unique ticker TKNZ != OpenFIGI TOTR,9,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,review conflict evidence
,87283Q859,T ROWE PRICE EXCHANGE-TRADED,CONFLICT,SEC unique ticker TKNZ != OpenFIGI TVAL,9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,95766R104,WESTERN AST INFL LKD OPP & I,AMBIGUOUS,"multiple distinct US tickers: ['WIW', 'XWIWX']",9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,G0369L101,ANGHAMI INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,9,O0;O1_2Q,H0_dev;H0_dev,resolve ambiguity
,G0544E113,NEWGENIVF GROUP LIMITED,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,9,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,G20707116,CHECHE GROUP INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,9,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,G6209W108,MKDWELL TECH INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,9,O0;O1_2Q,H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,M74240108,NEUROSENSE THERAPEUTICS LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,9,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,044103869,ASHFORD HOSPITALITY TR INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,8,O0;O1_2Q,H3_security_holdout;H3_security_holdout,resolve ambiguity
,09074F405,BIOVIE INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,8,O0,H2_manager_holdout,resolve ambiguity
,09662E109,BNY MELLON STRATEGIC MUN BD,AMBIGUOUS,"multiple distinct US tickers: ['DSM', 'XDSMX']",8,O0;O1_2Q,H3_security_holdout;H3_security_holdout,resolve ambiguity
,112830104,BROOKFIELD REAL ASSETS INCOM,AMBIGUOUS,"multiple distinct US tickers: ['RA', 'XRAIX']",8,O0,H3_security_holdout;H4_combined,resolve ambiguity
,165167172,EXPAND ENERGY CORPORATION,CONFLICT,SEC unique ticker EXE != OpenFIGI EXEEZ,8,O0;O1_2Q,H3_security_holdout;H3_security_holdout,review conflict evidence
,19248A109,COHEN & STEERS INFRASTRUCTUR,AMBIGUOUS,"multiple distinct US tickers: ['UTF', 'XUTFX']",8,O0;O1_2Q,H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,40416EAF0,HCI GROUP INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,8,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev,resolve ambiguity
,44862P117,HYCROFT MINING HOLDING CORP,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,8,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout,resolve ambiguity
,46138E222,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P INTERNATIONAL DE' -> ['VVR'] != OpenFIGI IDMO,8,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,529900102,LIBERTY ALL-STAR GROWTH FD I,AMBIGUOUS,"multiple distinct US tickers: ['ASG', 'XASGX']",8,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,55273C107,MFS INTER INCOME TR,AMBIGUOUS,"multiple distinct US tickers: ['MIN', 'XMINX']",8,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,552939100,MFS GOVT MKTS INCOME TR,AMBIGUOUS,"multiple distinct US tickers: ['MGF', 'XMGFX']",8,O0;O1_2Q,H3_security_holdout,resolve ambiguity
,602687105,MINDWALK HOLDINGS CORP,AMBIGUOUS,"multiple distinct US tickers: ['HYFT', 'IPA']",8,O0;O1_2Q,H1_time_holdout;H1_time_holdout,resolve ambiguity
,67062C107,NUVEEN CALIFORNIA MUNI VLU F,AMBIGUOUS,"multiple distinct US tickers: ['NCA', 'XNCAX']",8,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,67064R102,NUVEEN VA QUALITY MUN INCOM,AMBIGUOUS,"multiple distinct US tickers: ['NPV', 'XNPVX']",8,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,67071L106,NUVEEN AMT FREE MUN CR INC F,AMBIGUOUS,"multiple distinct US tickers: ['NVG', 'XNVGX']",8,O0,H0_dev;H1_time_holdout,resolve ambiguity
,67072T108,NUVEEN FLOATING RATE INCOME,AMBIGUOUS,"multiple distinct US tickers: ['JFR', 'XJFRX']",8,O0;O1_2Q,H3_security_holdout;H3_security_holdout,resolve ambiguity
,67073D102,NUVEEN CR STRATEGIES INCOME,AMBIGUOUS,"multiple distinct US tickers: ['JQC', 'XJQCX']",8,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,670928100,NUVEEN MUN VALUE FD INC,AMBIGUOUS,"multiple distinct US tickers: ['NUV', 'XNUVX']",8,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,72200M108,PIMCO CALIF MUN INCOME FD II,CONFLICT,SEC title 'PIMCO CALIFORNIA MUNICIPA II' -> ['PCQ'] != OpenFIGI XPCKX,8,O0,H0_dev;H1_time_holdout,review conflict evidence
,72201B101,PIMCO CORPORATE & INCOME OPP,AMBIGUOUS,"multiple distinct US tickers: ['PTY', 'XPTYX']",8,O0,H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,72201H108,PIMCO INCOME STRATEGY FD,AMBIGUOUS,"multiple distinct US tickers: ['PFL', 'XPFLX']",8,O0,H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,746823103,PUTNAM MANAGED MUN INCOME TR,AMBIGUOUS,"multiple distinct US tickers: ['PMM', 'XPMMX']",8,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,746853100,PUTNAM PREMIER INCOME TR,AMBIGUOUS,"multiple distinct US tickers: ['PPT', 'XPPTX']",8,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,74933W486,RBB FD INC,CONFLICT,SEC title 'F/M US TREASURY 2 YEAR NOTE' -> ['FMBM'] != OpenFIGI UTWO,8,O0,H0_dev;H1_time_holdout,review conflict evidence
,74933W510,RBB FD INC,CONFLICT,SEC title 'F/M US TREASURY 5 YEAR NOTE' -> ['FMBM'] != OpenFIGI UFIV,8,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,review conflict evidence
,74933W551,RBB FD INC,CONFLICT,SEC title 'F/M US TREASURY 30 YEAR BOND' -> ['FMBM'] != OpenFIGI UTHY,8,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,80516T105,SAVERONE 2014 LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,8,O0;O1_2Q,H0_dev;H0_dev,resolve ambiguity
,867781700,SUNSHINE BIOPHARMA INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,8,O0;O1_2Q;O1_3Q,H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,87283Q701,T ROWE PRICE EXCHANGE-TRADED,CONFLICT,SEC unique ticker TKNZ != OpenFIGI TBUX,8,O0;O1_2Q,H3_security_holdout;H3_security_holdout,review conflict evidence
,92891H507,VS TRUST,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,8,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev,resolve ambiguity
,95766J102,WESTERN ASSET HIGH INCOM FD,AMBIGUOUS,"multiple distinct US tickers: ['HIX', 'XHGIX']",8,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,98955N108,ZHIHU INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,8,O0;O1_2Q,H0_dev;H0_dev,resolve ambiguity
,G6209W116,MKDWELL TECH INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,8,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,G72245114,PRENETICS GLOBAL LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,8,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev,resolve ambiguity
,G7410G106,REAL MESSENGER CORP.,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,8,O0;O1_2Q,H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,G7823S101,SATELLOGIC INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,8,O0,H0_dev,resolve ambiguity
,L64875112,MOOLEC SCIENCE SA,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,8,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout,resolve ambiguity
,00548F105,ADAM NAT RES FD INC,AMBIGUOUS,"multiple distinct US tickers: ['PEO', 'XPEOX']",7,O0,H0_dev;H1_time_holdout,resolve ambiguity
,02919L307,AMERICAN REBEL HOLDINGS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,7,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev,resolve ambiguity
,05588W108,BNY MELLON STRATEGIC MUNS IN,AMBIGUOUS,"multiple distinct US tickers: ['LEO', 'XLEOX']",7,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,09251A104,BLACKROCK ENHANCED EQUITY DI,AMBIGUOUS,"multiple distinct US tickers: ['BDJ', 'XBDJX']",7,O0,H0_dev;H2_manager_holdout,resolve ambiguity
,09253N104,BLACKROCK MUNIHOLDINGS FD IN,AMBIGUOUS,"multiple distinct US tickers: ['MHD', 'XMHDX']",7,O0,H0_dev;H1_time_holdout,resolve ambiguity
,09254E103,BLACKROCK MUNIYIELD QUALITY,AMBIGUOUS,"multiple distinct US tickers: ['MYI', 'XMYIX']",7,O0,H0_dev;H1_time_holdout,resolve ambiguity
,09257A108,BLACKROCK RES & COMMODITIES,AMBIGUOUS,"multiple distinct US tickers: ['BCX', 'XBCRX']",7,O0,H0_dev;H1_time_holdout,resolve ambiguity
,09769B115,BOLT PROJS HLDGS INC,CONFLICT,SEC title 'GOLDEN ARROW MERGER A -CW26' -> ['GARWF'] != OpenFIGI BSLKW,7,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,review conflict evidence
,12811P108,CALAMOS CONV & HIGH INCOME F,AMBIGUOUS,"multiple distinct US tickers: ['CHY', 'XCHYX']",7,O0,H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,18914C100,CLOUGH GLOBAL EQUITY FD,AMBIGUOUS,"multiple distinct US tickers: ['GLQ', 'XGLQX']",7,O0;O1_2Q,H3_security_holdout,resolve ambiguity
,19249X108,COHEN & STEERS TAX ADVAN PFD,AMBIGUOUS,"multiple distinct US tickers: ['PTA', 'XPTAX']",7,O0,H0_dev;H1_time_holdout,resolve ambiguity
,27829C105,EATON VANCE TAX-MANAGED GLOB,AMBIGUOUS,"multiple distinct US tickers: ['ETW', 'XETWX']",7,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,35473P306,FRANKLIN TEMPLETON ETF TR,CONFLICT,SEC title 'FRANKLIN U.S. CORE DIVIDEND' -> ['FT'] != OpenFIGI UDIV,7,O0;O1_2Q,H3_security_holdout,review conflict evidence
,36240B109,GABELLI CONV & INC SECS FD I,AMBIGUOUS,"multiple distinct US tickers: ['GCV', 'XGCVX']",7,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,46092D673,INVESTMENT MANAGERS SER TR I,CONFLICT,13F title_of_class declares ADR but OpenFIGI securityType=['ETP'],7,O0;O1_2Q;O1_3Q,H1_time_holdout;H1_time_holdout;H1_time_holdout,review conflict evidence
,46137V274,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 EQUAL WEIGHT' -> ['VVR'] != OpenFIGI RSPU,7,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,46137V423,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 VALUE WITH M' -> ['VVR'] != OpenFIGI SPVM,7,O0,H0_dev;H1_time_holdout,review conflict evidence
,46583A204,IVEDA SOLUTIONS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,7,O0;O1_2Q,H0_dev;H0_dev,resolve ambiguity
,52567D115,LEMONADE INC,CONFLICT,SEC unique ticker LMND != OpenFIGI LMND/WS,7,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev,review conflict evidence
,553745118,MSP RECOVERY INC,CONFLICT,SEC unique ticker MSPR != OpenFIGI MSPRZ,7,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,583435102,STEAKHOLDER FOODS LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,7,O0;O1_2Q,H0_dev;H0_dev,resolve ambiguity
,63911H207,NAUTICUS ROBOTICS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,7,O0,H2_manager_holdout,resolve ambiguity
,67021W301,NUBURU INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,7,O0,H0_dev;H2_manager_holdout,resolve ambiguity
,67071B108,NUVEEN REAL ESTATE INCOME FD,AMBIGUOUS,"multiple distinct US tickers: ['JRS', 'XJRSX']",7,O0;O1_2Q,H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,67074Y105,NUVEEN REAL ASSET INCOME & G,AMBIGUOUS,"multiple distinct US tickers: ['JRI', 'XJRIX']",7,O0;O1_2Q,H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,72200X104,PIMCO STRATEGIC INCOME FD,AMBIGUOUS,"multiple distinct US tickers: ['RCS', 'XRCSX']",7,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,72201Y101,PIMCO DYNAMIC INCOME FD,AMBIGUOUS,"multiple distinct US tickers: ['PDI', 'XPDIX']",7,O0,H4_combined,resolve ambiguity
,74016W403,PRECIDIAN ETFS TR,CONFLICT,13F title_of_class declares ADR but OpenFIGI securityType=['ETP'],7,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,746922103,PUTNAM MUN OPPORTUNITIES TR,AMBIGUOUS,"multiple distinct US tickers: ['PMO', 'XPMOX']",7,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,74954L112,RF ACQUISITION CORP,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,7,O0;O1_2Q,H3_security_holdout;H3_security_holdout,resolve ambiguity
,81256L203,SEASTAR MEDICAL HOLDING CORP,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,7,O0,H2_manager_holdout,resolve ambiguity
,85513Q103,STAR EQUITY HOLDINGS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,7,O0;O1_2Q,H0_dev;H0_dev,resolve ambiguity
,872340104,TCW STRATEGIC INCOME FD INC,AMBIGUOUS,"multiple distinct US tickers: ['TSI', 'XXCVTXX']",7,O0;O1_2Q,H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,88066N303,TENON MEDICAL INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,7,O0;O1_2Q,H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,92346X115,VERIFYME INC,CONFLICT,SEC unique ticker VRME != OpenFIGI VRMEW,7,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev,review conflict evidence
,95766A101,WESTERN ASSET EMERGING MKTS,AMBIGUOUS,"multiple distinct US tickers: ['EMD', 'XEMDX']",7,O0,H3_security_holdout;H4_combined,resolve ambiguity
,95790K109,WESTERN ASSET DIVERSIFIED IN,AMBIGUOUS,"multiple distinct US tickers: ['WDI', 'XWDIX']",7,O0,H1_time_holdout;H2_manager_holdout,resolve ambiguity
,98148L746,WORLD FDS TR,CONFLICT,SEC title 'T-REX 2X INVERSE BITCOIN DLY' -> ['TRXA'] != OpenFIGI BTCZ,7,O0,H3_security_holdout,review conflict evidence
,G0250X149,AMCOR PLC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,7,O0;O1_2Q,H1_time_holdout,resolve ambiguity
